,id,name,is_front,image_url_main,image_url_secondary
0,2,Anterior deltoid,True,/static/images/muscles/main/muscle-2.svg,/static/images/muscles/secondary/muscle-2.svg
1,1,Biceps brachii,True,/static/images/muscles/main/muscle-1.svg,/static/images/muscles/secondary/muscle-1.svg
2,11,Biceps femoris,False,/static/images/muscles/main/muscle-11.svg,/static/images/muscles/secondary/muscle-11.svg
3,13,Brachialis,True,/static/images/muscles/main/muscle-13.svg,/static/images/muscles/secondary/muscle-13.svg
4,7,Gastrocnemius,False,/static/images/muscles/main/muscle-7.svg,/static/images/muscles/secondary/muscle-7.svg
5,8,Gluteus maximus,False,/static/images/muscles/main/muscle-8.svg,/static/images/muscles/secondary/muscle-8.svg
6,12,Latissimus dorsi,False,/static/images/muscles/main/muscle-12.svg,/static/images/muscles/secondary/muscle-12.svg
7,14,Obliquus externus abdominis,True,/static/images/muscles/main/muscle-14.svg,/static/images/muscles/secondary/muscle-14.svg
8,4,Pectoralis major,True,/static/images/muscles/main/muscle-4.svg,/static/images/muscles/secondary/muscle-4.svg
9,10,Quadriceps femoris,True,/static/images/muscles/main/muscle-10.svg,/static/images/muscles/secondary/muscle-10.svg
10,6,Rectus abdominis,True,/static/images/muscles/main/muscle-6.svg,/static/images/muscles/secondary/muscle-6.svg
11,3,Serratus anterior,True,/static/images/muscles/main/muscle-3.svg,/static/images/muscles/secondary/muscle-3.svg
12,15,Soleus,False,/static/images/muscles/main/muscle-15.svg,/static/images/muscles/secondary/muscle-15.svg
13,9,Trapezius,False,/static/images/muscles/main/muscle-9.svg,/static/images/muscles/secondary/muscle-9.svg
14,5,Triceps brachii,False,/static/images/muscles/main/muscle-5.svg,/static/images/muscles/secondary/muscle-5.svg
